"catagory","title","participated"
"정치개혁","♠-"".""재닛옐런(전 FRB의장)의 ●위험경고","1"
"정치개혁","◆-日本은→부동산 거품이꺼지면서 15년동안","0"
"기타","적폐 보건복지부는 청산해야.","5"
"정치개혁","♣.이런 상태가 계속되면 나라가 ●망합니다.-""","4"
"반려동물","동물보호법 대체 언제 강화되나요 ??","66"
"정치개혁","정치인들의 격조있는 다툼, 답을 내어놓는 다툼을 청원합니다.","0"
"정치개혁","♣-청년 가구는●45년을 한푼도 안쓰고 모아야 서울강남 중간 가격의 아파트","1"
"정치개혁","♣-토지거래 허가제 근거법→ 헌법23조 제2항(재산권의 행사는 공공복리에 적합),헌법122조","2"
"경제민주화","문재인 대통령님 삼성바이오로직스를 반드시 상장폐지 시켜야 할 이유 입니다.","8"
"안전/환경","""조두순""을 화학적 거세해 주세요.(출소 전부터 죽을 때까지)","18"
"기타","광화문 집회허가를 멈춰주세요","1"
"정치개혁","♣-지금 3급이하의 그린벨트(훼손된 지역)해제 → 57년전 서울인구 약 160만명","1"
"경제민주화","문재인 대통령님 삼성을 위한 삼성위원회라는 불명예 딱지를 금융위원회 스스로 떼어내는 계기가 되길 바라며,""삼성, 낡은 방식 청산하고 사회적책임 다해야""","7"
"정치개혁","◆-수도서울에 무주택자가 ●51% 라고 합니다.시장의 현금이 생산적인 활동에","3"
"경제민주화","문재인 대통령님 ""국민연금과 삼성바이오로직스는 무슨 관계가 있는 건가요?""","6"
"경제민주화","문재인 대통령님 국민연금공단 안효준,기금운용본부 박능후,국민연금공단 김성주,기획재정부차관20명의위원들을 삼성바이오로직스와의 연결고리와 손실에대한 책임을 반드시 엄중히 물어야할것입니다.","5"
"정치개혁","◆-강남구 삼성동에 있는 대우멤버스카운티1차의 경우 지난해 ●16억원에 거래됐지만, 공시가격은 7억 8000만원이었다","0"
"성장동력","냉엄한 국제사회 현실이 그렇게도 안보이십니까?","13"
"정치개혁","◈-개발안된● 공원부지→를 아파트 부지로 하세요. 한채를 소유했던 유주택자에서 두채","2"
"문화/예술/체육/언론","마루마루사태에 대해서.. 불법업로드사이트들을 모두 처단하였으면 합니다.","11"
"경제민주화","문재인 대통령님 자기들이 스스로책임져야 하고 어떠한 이유로도 사기를 정당화하지 말아야 합니다.","11"
"정치개혁","소득주도경제정책의 실패를 인정하고 지금이라도 폐지하라!","3"
"안전/환경","교포가 하도 답답해서 청원드립니다.","0"
"안전/환경","교포가 하도 답답해서 청원드립니다.","2"
