"catagory","title","participated"
"안전/환경","택시 속도제한 의무화 및 안전교육 강화","1"
"인권/성평등","문재인 대통령님 생신 축하드려요","15"
"외교/통일/국방","군인(장병)을 지켜주세요","35"
"기타","골목식당에 나온 청파동 피자집","1"
"정치개혁","국제범죄왕 나경원의 조직 예천군의원과 함께 검은돈공천 수사하라","4"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"미래","잘생긴남자좀소개시켜주세요","6"
"교통/건축/국토","아파트주민대표의 횡포","2"
"보건복지","안타깝다  살고싶다","1"
"보건복지","힘든 국민을  외면하지 말라","4"
"보건복지","또  비극적인  선택을 한  화곡동 일가족   문씨야  한번 생각을 해봐라  힘든 국민을  외면하지 말라","2"
"일자리","경제좀 신경써줘","4"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"일자리","작의적인 해양수산부 고시 해석 및 민원 신청 거부","0"
"정치개혁","세금 지급 거부권 제안","5"
"일자리","국민연금 찾게해줘라 빚좀값자 고리이자 나가는국민들 생각해봐라","7"
"경제민주화","삼성화재 불매운동을 제안합니다","2"
"정치개혁","자유한국당 나경원은 검은돈공천 예천군의원들 사건을 목포에 누명씌워","7"
"교통/건축/국토","안산아피트","0"
"정치개혁","그랜드캐논의 사기와 나의처지","10"
"교통/건축/국토","안산아피트","0"
"정치개혁","나경원원내대표의 억울함을 불어주자. 방송국과기자님들","12"
"정치개혁","나경원원내대표의 억울함을 불어주자. 방송국과기자님들","0"
"경제민주화","삼성화재 불매운동을 제안합니다","1"
"정치개혁","빨갱이의딸 ""손혜원"" 북으로 보내라 !","15"
"보건복지","이명박때는 유류세환급인가 몬가라도 주었는데 이정부들어선 라면한조각도없네","2"
"경제민주화","당신의 적 삼성화재","1"
"정치개혁","예천군 전원사퇴 시켜주세요.국민(주인)이 원합니다.","8"
"경제민주화","삼성화재보험의  두 얼굴","1"
"정치개혁","황교안은 국민을 죽이려고 했던자 이젠 속지말고 그 조상을 죽일까 생각은","4"
"정치개혁","황교안은 국민을 죽이려고 했던자 이젠 속지말고 그 조상을 죽일까 생각은","1"
"경제민주화","2019년에도 문재인 정권을 위압하기 위해 롯테 Group 으로만이 '롯테 주도 성장' 급 공식 개조 발전을 실현 전개 시켜놔야 할 사항","0"
"외교/통일/국방","일본이 우리 이용하게 뇝두지말고 우리가 이용하면 안됩니까?","1"
"문화/예술/체육/언론","현재 아시안 컵을 하고 있는 국가 대표 팀 에게 의무 팀 좀 보내 주세요.","3"
"경제민주화","두 얼굴의 삼성화재보험... 보험사기하는 삼성화재","1"
"교통/건축/국토","광주광역시재건축","29"
"외교/통일/국방","역적을 처단해라","2"
"경제민주화","삼성화재의  두 얼굴","1"
"기타","청와대 홈페이지 없애라","1"
"경제민주화","삼성화재보험의 보험사기","1"
"외교/통일/국방","정부의 입장이 궁금합니다.","1"
"정치개혁","박근혜대통령님의 생일(2월 2일)을 국가기념일로 지정해 주세요","8"
"정치개혁","그랜드캐논의 사기와 나의처지","6"
"정치개혁","쓴소리 다 삭제하고 :ㅡ자화자찬 글만 가득하구나!","1"
"경제민주화","삼성화재보험의 보험사기...","1"
"정치개혁","사기꾼을 처벌해라","1"
"안전/환경","그랜드 캐년 가족 세무조사 후 지원 바랄께요 선 세무조사 후 지원 입니다","39"
"정치개혁","국제 범죄단체 예천군의원들 공천한 자유한국당 검은돈 공천을 수사하라","2"
"안전/환경","대구 수성구는  아직도 집값이 오르고 있어요  그 이유를 알 수가 없네요","2"
"교통/건축/국토","혈세에 혈안이 되어있는 현정권.","6"
"경제민주화","윤석헌 금융감독원장(삼성화재 하수인 노릇한 것)은 각성을 촉구합니다","1"
"정치개혁","공산주의자의 딸"" 손혜원 ""북으로 보내라 !","6"
"인권/성평등","저도 그랜드캐년 보내주세요","23"
"정치개혁","국회 일정 거부 금지","4"
"저출산/고령화대책","부산시청 노인복지과 정보공개@ 부산시민을 데리고 멋대로 우롱하고 감히 장난질을 하고 있다니@","1"
"외교/통일/국방","도둑놈을 처벌해라","1"
"정치개혁","국제 범죄단체 본부 자유한국당은 예천군의원들이  국가 발전에 발목잡고 있다","1"
"정치개혁","국제 범죄단체 본부 자유한국당은 예천군의원들이  국가 발전에 발목잡고 있다","1"
"경제민주화","그랜드 캐년의 경관을 4K 동영상으로라도 보고싶어요","5"
"인권/성평등","진 정 서.","2"
"문화/예술/체육/언론","밝혀주십시오 보험사기를,  종합보험료를 찾아주십시오   (주)패밀리의 간곡한 호소입니다","1"
"보건복지","정권재창출 암흑의 먹구름 참여정부 데쟈뷰???","1"
"인권/성평등","최낙현 검사 및 재판장 판사 이태수의 죄상을 청와대 국민청원을 통해 세상에 공개합니다","2"
"정치개혁","[국민감사] 헌법재판관 이은애,조용호,김기영 을 직권남용, 국헌문란죄로 고발합니다. 201","0"
"정치개혁","청원게시판 ""손혜원"" 편들기 너무심하다 .","9"
"인권/성평등","재판장 판사 오석준 보거라","2"
"외교/통일/국방","그랜드캐년 유학생  사고자의  세금지원을 반대합니다","49"
"인권/성평등","듣기좋으면 ㅡ공감ㅡ수천~ 듣기실음ㅡ삭제~이게 청와대 게시판이냐","4"
"교통/건축/국토","부산 김해신공항 소음 논란 결사반대","0"
"교통/건축/국토","◆문재인정부 마저도 이렇게 차별하나?","1"
"외교/통일/국방","북핵보다 위험한 후쿠시마 방사능 오염수 유출 유엔제소","1"
"외교/통일/국방","북핵보다 위험한 후쿠시마 방사능 오염수 유출 유엔제소","0"
"인권/성평등","재판장 대법관  이기택 보거라","2"
"인권/성평등","(새로운 청원ㅡ중복청원 아님)ㅡ경찰에 의해 자행된 민간인사찰 피해자 특별법제정 청원","0"
"정치개혁","◆국회의원수 증가는 절대 불가하다!","12"
"정치개혁","최저임금 긍정효과 90프로개콘정부 광화문정부 사기처벌받아야","6"
"외교/통일/국방","북한핵 포기 쇼 더이상 국민들 속이면 안된다.","11"
"정치개혁","나경원이 분당 700평 땅 조사해봐야 되는거 아니냐?","11"
"육아/교육","비참한 사립유치원 교사들의 실태  꼭봐주세요 살펴봐주세요!!","4"
"일자리","공공기관 비정규직 정규직화","2"
"정치개혁","하루종일 종편 패널로 해설 하시는분 교수 맞나요?","2"
"행정","번명규 룬장 반납되야","0"
"교통/건축/국토","아파트주민대표의 횡포","4"
"정치개혁","사법부 하나회 인권법연구회 자진 해체가 맞다.","2"
"일자리","전국에있는 사립유치원 교사들은 봐주세요","4"
"교통/건축/국토","공시지가 단계적으로 인상하셨으면 합니다.","1"
"정치개혁","버티기로 일관하는 예천군 의원 철면피들아 니들때문에 농민들이 죽어나간다","6"
"기타","가계부채 해결해라","0"
"교통/건축/국토","세금 그만 올리세요","16"
"미래","대통령님 우리가 정말 노예입니까, 노예입니다.","9"
"교통/건축/국토","아파트주민대표 횡포 갑질","2"
"교통/건축/국토","우정청의 월권행위","0"
"정치개혁","문재인대통령..조~옷대따.","21"
"안전/환경","신체와 뇌 폐 건강의 영향을 주는 국내발 중국발 미세먼지 문제 얼른 해결해주세요","0"
"미래","국민연금 국민 노후자금 정권 맘대로 휘두르는 칼 아니다.","3"
"정치개혁","불륜을 막을수 있는 법적대책을 마련해야 합니다","3"
"기타","어디다 얘기해야 하나요?","4"
"육아/교육","우리나라 말인 한글이 많이 사라지고 있습니다.","2"
"정치개혁","방배동 삼익 아파트에서 당장 방 빼버려야 할 조국(문재인 정부 휘하 청와대 민정수석)의 보수 체계 외면 논란 발언","0"
"정치개혁","국제 범죄단체 본부 자유한국당 예천군의원들 검은돈 공천 소문이 있는데 왜  목포문화제 누명을 씌우기 위해","1"
"기타","군인들강제회식","0"
