"catagory","title","participated"
"육아/교육","고등학교 지필평가(중간·기말고사)를 전국 모의고사로 대체하여 내신평가의 공정성을 확립하고 공교육을 통한 사교육비 절감에 대한 제안 드립니다.","80"
"육아/교육","사립 유치원 비리 제대로 밝혀 주세요","44"
"육아/교육","사립 유치원 비리 제대로 밝혀 주세요","44"
"안전/환경","여경 확대 채용 신중히 해주세요.스웨덴은 여경 비율이 절반인데 여경3명이 무슬림 이민자 1명 제압 못하고 반대로 참 교육 당하고 잇습니다.동영상 참고하세요.","7"
"육아/교육","사립유치원=>사립학교=>사학법 개정과 한국의 사립학교 현실","30"
"안전/환경","중국발 미세먼지 해결방안","35"
"일자리","정부출연기관 용역업체 직접고용","42"
"인권/성평등","청원 답변을 위해 얼마나 준비하시나요?-청원답변 51호에 대하여","19"
"문화/예술/체육/언론","연합뉴스의 국고 보조금을 회수하라!","6"
"반려동물","무분별한 동물실험을 줄여주세요.","25"
"행정","소방관분들의 복지를 향상시켜주세요","8"
"외교/통일/국방","외국인 근로자 무면허 무보험운전 가해 우려돼요","16"
"교통/건축/국토","3기신도시등 대상지역민원불구 철저시행제안","6"
"안전/환경","승강기기사들의 절실한외침.","13"
"육아/교육","실용적인 교육...받아야되지않을까요?","1"
"교통/건축/국토","차량 선틴 규제 바랍니다","4"
"기타","벌금 추징금액 표기를 변경하는 게 어떨까요?","0"
"기타","캡스의 갑질에 집에도 못 들어갑니다.","6"
"정치개혁","가짜뉴스(유튜브) 근절을 할 필요가 없는 이유","2"
"육아/교육","학생들 망치는 ""경남학생인권조례 반대"" (2번째)","6,258"
"안전/환경","자살과 인권의 관계","0"
"기타","면세한도 늘려주세요","5"
"정치개혁","백종원의 답변을 계기로 여성부의 폐지와 주변에 널부러진 공신부류들을 모두 정리해야 한다.","12"
"외교/통일/국방","여러가지 미래 정책에 대한 제안","5"
"육아/교육","학생들의 등교시간을 늦춰주세요","23"
"기타","명성교회만의 문제가 아닙니다!!!","16"
"문화/예술/체육/언론","국위선양 BTS(방탄소년단)군입대 면재해주세요","10"
"안전/환경","불법체류자 왜안잡을까요?","33"
"육아/교육","전국 사립유치원 비리 모두 밝혀주세요!","54"
"일자리","여기 한국 맞나요?","29"
"기타","국인들의 외침","3"
"교통/건축/국토","부동산집값잠재울려면불법전매무효판결하라","14"
"육아/교육","제발 들어주세요","2"
"농산어촌","수억원을 포기하고 멸종위기 고래상어를 바다로 보내준분들 보상해 주세요.","3"
"기타","소방사들 대우해주세요","4"
"인권/성평등","청소년 보호법 관련 제안","5"
"외교/통일/국방","대통령님 제발 철좀 드십시오 1일차.","20"
"교통/건축/국토","대포차 운행 못하게 하세요","16"
"외교/통일/국방","외국인 대포차량 관리","21"
"교통/건축/국토","외국인 체류자들의 불법운전 차량에  대한 교통법규를 철저히 해 내국인들이 피해보는 일이 없도록 청원합니다","25"
"외교/통일/국방","제발 군대 현부심 재입대 할수있게 도와주세요","7"
"일자리","가짜뉴스 유튜브 방송하는 인간들이 늘어나는걸 보면 실업율이 정말 심각합니다.","3"
"육아/교육","가톨릭관동대학교에 대해서.....","1"
"안전/환경","소방관 기동복 부활을 막아주세요.","11"
"경제민주화","최연소 임대사업자..두살배기 아기...형사처벌도 받지 않는 촉법소년 만14세 미만 또는 미성년자...임대사업자등록 불가해주세요...!","11"
"기타","강박장애 국가유공자 정신장애 등록되게 해주세요","0"
"육아/교육","24시간어린이집부모가cctv볼수있게햊드세요","5"
"안전/환경","외국인 불법체류자 및 운전자들의 처벌을 강화해주시고 강제 출국시켜주세요!","30"
"교통/건축/국토","교통사고로 힘들지만  렉카가격이 너무합니다","3"
"행정","소방공무원 채용 방법. 변경.","0"
"교통/건축/국토","독도는 우리땅입니다","7"
"행정","다산신도시 택배배송문제   해결해주십시요.","4"
"보건복지","살고싶습니다.","16"
"행정","기상청은 왜 서울에 아직도 남아있나요?","8"
"육아/교육","아동독감4가백신도무료로해주세요","3"
"인권/성평등","재판부에서 MBC 가짜방송을 확인할 결정적 증거를 모두 누락시키고 진실을 은폐하여 도리어 피해자를 짓밟고 있는 억울함을 호소합니다","1"
"정치개혁","국민님들한테 걷은 세금을 우선 먼저 국민들의 건강을 진정 지켜주고 생활고을 만들지 않는 ''국민건강의료비지원'' 운용됨을 제도로 헌법1조1항에 헌정공공화하여 주세요해.","0"
"안전/환경","소년법폐지","29"
"안전/환경","음주운전엄벌","7"
"육아/교육","초등학교수업시간을늘려주세요","3"
"교통/건축/국토","도로공사 비리 특검 및 운영 투명성 제고","3"
"교통/건축/국토","'주택소유이력'이 신혼부부 특별공급 배제조건이면 '직장이력'도 배제해주세요.","54"
"교통/건축/국토","'주택소유이력'이 신혼부부 특별공급 배제조건이면 '직장이력'도 배제해주세요.","54"
