"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"생활/문화 ","안영배 관광公 사장 ""中 채널 회복세 견인..외래객 1800만 유치""",1,0,0,2,0
"생활/문화 ","'문화재에 깃든 100년 전 그날' 개막, 서대문형무소 오세요",0,0,0,0,0
"생활/문화 ","'문화재에 깃든 100년 전 그날'",0,0,0,0,0
"생활/문화 ","[날씨] 중부 눈 대부분 그쳐…대보름달 구름 사이로",3,0,0,0,0
"생활/문화 ","[날씨] 수도권 눈 대부분 그쳐…곳곳 빙판길 조심",2,0,0,0,0
"생활/문화 ","""세상 떠난 할머니 떠올리며 파이널곡 연주""",0,0,0,0,0
"생활/문화 ","윤연준, 퐁투아즈 피아노 캠퍼스 콩쿠르 1위",2,0,0,0,0
"생활/문화 ","[똑! 기자 꿀! 정보] 내 몸에 맞아야 '약'…몸에 좋은 3대 목욕법?",29,1,0,3,4
"생활/문화 ","[똑! 기자 꿀! 정보] '차(茶)', 몸과 마음에 작은 쉼표를 찍다",7,0,0,0,0
"생활/문화 ","[똑! 기자 꿀! 정보] 어제는 선반, 오늘은 책장…내 맘대로 만드는 '조립식 가구'",1,0,0,0,1
"생활/문화 ","[똑! 기자 꿀! 정보] 주방의 혁명…치킨·삼겹살도 기름 없이 튀겨요!",23,3,1,7,4
"생활/문화 ","[허시명의 술술술] 중국과 일본은 있고 한국에는 없는 연구소",16,0,0,0,3
"생활/문화 ","[허시명의 술술술] 대한민국에서 막걸리를 가장 잘 쓸 줄 아는 사람",32,0,0,16,1
"생활/문화 ","[허시명의 술술술] ""홍삼 그 이상""… 아픈 사람 나으라고 먹이는 술",9,0,0,2,0
"생활/문화 ","[허시명의 술술술] 양조장만 20개… 술 마시기 위해 떠난 제주여행",11,1,0,0,0
"세계 ","화웨이 회장 ""미국=세계 아냐, 우린 끄떡없어""[이슈+]",4,1,0,11,0
"세계 ","美, 화웨이 퇴출공조 균열?…英 이어 뉴질랜드도 이상기류(종합)",5,1,0,8,0
"세계 ","화웨이 회장 “스파이 행위하면 회사 문 닫겠다”",0,0,1,9,0
"세계 ","LGU+, 공공분야 수주 어려움에 '화웨이 자성론?'",1,0,0,0,0
"세계 ","‘북미회담 D-8’ 北 김혁철 베이징 도착…투트랙 협상 본격화",0,0,0,0,0
