"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"벨리즈",2297000,390231,1838000000,4905.51,0.88,27.5,NA,4.7,69.09,NA,NA,NA,2.5,NA,NA
"보스니아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98
"보스니아-헤르체고비나",5121000,3501774,18168579578.2,5180.64,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"보스니아헤르체고비나",NA,NA,NA,NA,NA,29.02,5.386,8.8,79.81,38,NA,NA,1.4,43.79,NA
"보츠와나",58173000,2374636,17406530780.7,7595.6,2.36,25.09,3.488,9.3,55.22,61,NA,NA,2.7,NA,7.81
"본부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52
"볼리비아",109858000,11379861,37508642112.9,3393.96,4.2,35.38,5.779,12.2,69.8,29,43.5,74.2,2.8,53.29,5.7
"부룬디",2783000,11575964,3477502178.3,320.09,0.52,52.89,3.775,9.1,61.79,17,31.6,56.3,5.6,NA,2.33
"부르키나",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75
"부르키나파소",27422000,20321560,12873114800,670.71,6.74,24.53,4.587,7.7,56.2,41,NA,NA,5.3,NA,NA
"부탄",3839400,826229,2511852941.2,3110.23,6.82,29.81,5.082,11.4,71.09,68,NA,NA,2,NA,5.3
"북마리아나",NA,NA,NA,NA,NA,NA,NA,NA,78.32,NA,NA,NA,NA,NA,NA
"북마리아나제도",46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북마케도니아",NA,NA,NA,NA,NA,31.66,5.274,NA,76.61,37,36.1,56.4,1.5,39.29,5.87
"북부키프로스",NA,NA,NA,NA,NA,29.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북쪽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08
"북한",12054000,25727408,NA,NA,NA,83.4,NA,NA,70.98,14,NA,NA,NA,NA,NA
"불가리아",11100000,6988739,56831518294.4,8031.6,3.56,35.11,5.011,11.5,75.25,42,33.9,52.9,1.5,40,7.03
