"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"벨리즈",183800,162,4905.51,86,39231,177,NA,149,1687156100,163,4502.91,75,0.88,163,NA,NA,9.3,20,NA,NA,NA,NA
"카보베르데",1753736711.7,163,3209.69,104,56349,171,NA,171,1687518245.1,162,NA,NA,3.89,70,NA,NA,NA,NA,NA,NA,NA,NA
"세인트루시아",1712306555.6,164,9574.3,62,18454,187,NA,191,1593433925.9,164,8909.63,55,2.69,111,NA,NA,NA,NA,NA,103,NA,99
"산마리노",1658778453.9,165,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,1.24,158,NA,NA,NA,NA,NA,NA,NA,NA
"앤티가바부다",1532397555.6,166,NA,NA,NA,NA,NA,198,1492655074.1,165,NA,NA,3.34,89,NA,NA,NA,NA,NA,104,NA,100
"세이셸",1485994387.5,167,NA,NA,NA,NA,NA,195,1377994387.5,166,NA,NA,4.2,57,NA,NA,3.7,67,NA,101,NA,98
"기니비사우",1346933490.2,168,723.66,142,1953723,149,NA,135,1349682184.3,167,NA,NA,5.92,28,NA,NA,NA,NA,NA,NA,NA,NA
"솔로몬제도",133453616.1,169,2132.12,117,635254,166,289,141,1223723914.1,168,NA,NA,3.24,92,NA,NA,NA,NA,NA,99,NA,101
"그레나다",1118816679.4,170,NA,NA,NA,NA,NA,203,1080113472.4,169,NA,NA,3.73,79,NA,NA,NA,NA,NA,109,NA,102
"감비아",1014621519.9,171,NA,NA,2228075,145,113,163,986631508.8,170,NA,NA,3.5,85,NA,NA,NA,NA,NA,NA,NA,NA
"세인트키츠네비스",945854481.5,172,NA,NA,NA,NA,NA,207,919112074.1,171,NA,NA,1.74,144,NA,NA,NA,NA,NA,105,NA,106
"바누아투",862879789.4,173,NA,NA,288017,182,NA,160,8539071.8,172,NA,NA,4.5,50,NA,NA,NA,NA,NA,NA,NA,NA
